Time,Strategy,Mean P&L,Median P&L
0,学習戦略,-49.84465,-49.844643
1,学習戦略,-50.130062,-47.302635
2,学習戦略,-53.090656,-48.919487
3,学習戦略,-55.559975,-50.179558
4,学習戦略,-57.81926,-51.552765
5,学習戦略,-60.071445,-52.902275
6,学習戦略,-62.424095,-53.910587
7,学習戦略,-64.46137,-55.008858
8,学習戦略,-66.1651,-56.37394
9,学習戦略,-68.14802,-57.64454
10,学習戦略,-7.921345,-7.4795814
0,デルタヘッジ,-54.03676,-54.036762
1,デルタヘッジ,-56.503838,-53.823784
2,デルタヘッジ,-57.77692,-53.63973
3,デルタヘッジ,-58.853836,-54.067688
4,デルタヘッジ,-59.687576,-54.227608
5,デルタヘッジ,-60.739735,-54.114807
6,デルタヘッジ,-61.670525,-53.01361
7,デルタヘッジ,-62.292053,-51.986187
8,デルタヘッジ,-62.402794,-50.70813
9,デルタヘッジ,-63.060963,-49.38926
10,デルタヘッジ,-8.132582,-8.063129
