Time,Strategy,Mean Position,Median Position
0,学習戦略,0.49794856,0.4979485
1,学習戦略,0.47228584,0.4725018
2,学習戦略,0.4879283,0.48552585
3,学習戦略,0.5002617,0.49723545
4,学習戦略,0.5126315,0.5091665
5,学習戦略,0.52593917,0.52113044
6,学習戦略,0.53929675,0.531308
7,学習戦略,0.55094165,0.53936565
8,学習戦略,0.56160545,0.54957044
9,学習戦略,0.57433814,0.56211025
10,学習戦略,0.57433814,0.56211025
0,デルタヘッジ,0.5398279,0.5398278
1,デルタヘッジ,0.5314408,0.53769577
2,デルタヘッジ,0.5255144,0.5302936
3,デルタヘッジ,0.5189772,0.53084636
4,デルタヘッジ,0.5122729,0.5275112
5,デルタヘッジ,0.5089482,0.5197563
6,デルタヘッジ,0.50343436,0.50868106
7,デルタヘッジ,0.49598888,0.49001563
8,デルタヘッジ,0.48552403,0.46650946
9,デルタヘッジ,0.4806532,0.4487154
10,デルタヘッジ,0.4806532,0.4487154
